minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1102,1.5225702109289718,3.357140776335453,4.928909513527378,
1104,2.8497492852922286,5.622782328366548,6.553967155054827,
1105,2.8446844947790577,4.935096416440604,5.83701286616432,
1106,3.1173514165387632,7.919828223531113,7.111552576935442,
1107,2.887253873412779,6.794823444578156,5.0644523246034705,
1108,1.835846024127216,5.590993142664019,4.205572004093064,
1109,3.16831026977313,6.995831662128968,5.964975262415283,
1110,4.428422145877157,7.725244531445926,8.630650894893416,
1111,2.612245139229266,7.1160576397142465,6.281886298329248,
1112,1.9671782038399122,5.735013377201541,5.342107698445849,
1113,3.1127654465986527,7.232138958081542,8.890346623871496,
1114,2.1984816905073794,4.159239394308862,3.7296109176028547,
1115,2.0970699416819,4.180600523756635,5.60148787048014,
1116,4.40057610174352,8.792584106898406,8.193344938795107,
