timestamp,cpu_pct,cpu_time
2023-03-27 19:50:01.982354043,3,00:00:00
2023-03-27 19:50:01.992547459,3,00:00:00
2023-03-27 19:50:02.002251901,3,00:00:00
2023-03-27 19:50:02.013565957,3,00:00:00
2023-03-27 19:50:02.025609293,3,00:00:00
2023-03-27 19:50:02.036794949,3,00:00:00
2023-03-27 19:50:02.047342011,3,00:00:00
2023-03-27 19:50:02.064296927,3,00:00:00
2023-03-27 19:50:02.073641619,1.5,00:00:00
2023-03-27 19:50:02.082672796,1.5,00:00:00
2023-03-27 19:50:02.091093277,1.5,00:00:00
2023-03-27 19:50:02.0996903,1.5,00:00:00
2023-03-27 19:50:02.107327346,1.5,00:00:00
2023-03-27 19:50:02.115406574,1.5,00:00:00
2023-03-27 19:50:02.123722317,1.5,00:00:00
2023-03-27 19:50:02.132589956,1.5,00:00:00
2023-03-27 19:50:02.141067196,1.5,00:00:00
2023-03-27 19:50:02.149088894,1.5,00:00:00
2023-03-27 19:50:02.156852059,2.5,00:00:00
2023-03-27 19:50:02.164743401,2.5,00:00:00
2023-03-27 19:50:02.172734059,2.5,00:00:00
2023-03-27 19:50:02.180896589,2.5,00:00:00
2023-03-27 19:50:02.188893653,2.5,00:00:00
2023-03-27 19:50:02.197025751,2.5,00:00:00
2023-03-27 19:50:02.20523231,2.5,00:00:00
2023-03-27 19:50:02.213412082,2.5,00:00:00
2023-03-27 19:50:02.221442272,2.5,00:00:00
2023-03-27 19:50:02.229678242,2.5,00:00:00
2023-03-27 19:50:02.237550193,2.5,00:00:00
2023-03-27 19:50:02.246124976,2.5,00:00:00
2023-03-27 19:50:02.254478856,2.5,00:00:00
2023-03-27 19:50:02.262514993,2.5,00:00:00
2023-03-27 19:50:02.270206665,2.5,00:00:00
2023-03-27 19:50:02.278922881,2.5,00:00:00
2023-03-27 19:50:02.287351383,2.5,00:00:00
2023-03-27 19:50:02.295217446,2.5,00:00:00
2023-03-27 19:50:02.302844948,2.5,00:00:00
2023-03-27 19:50:02.312035035,2.5,00:00:00
2023-03-27 19:50:02.320560434,2.5,00:00:00
2023-03-27 19:50:02.330700093,2.5,00:00:00
2023-03-27 19:50:02.339270348,2.5,00:00:00
2023-03-27 19:50:02.347200396,2.5,00:00:00
2023-03-27 19:50:02.355029894,2.5,00:00:00
2023-03-27 19:50:02.362698339,2.5,00:00:00
2023-03-27 19:50:02.370439427,2.5,00:00:00
2023-03-27 19:50:02.378058004,2.5,00:00:00
2023-03-27 19:50:02.385754632,2.5,00:00:00
2023-03-27 19:50:02.393534657,2.5,00:00:00
2023-03-27 19:50:02.401598728,2.5,00:00:00
2023-03-27 19:50:02.409412343,2.5,00:00:00
2023-03-27 19:50:02.418894941,2.5,00:00:00
2023-03-27 19:50:02.428709261,2.5,00:00:00
2023-03-27 19:50:02.437867977,2.5,00:00:00
2023-03-27 19:50:02.447127783,2.5,00:00:00
2023-03-27 19:50:02.455933404,2.5,00:00:00
2023-03-27 19:50:02.465217245,2.5,00:00:00
2023-03-27 19:50:02.475495567,3,00:00:00
2023-03-27 19:50:02.486384445,3,00:00:00
2023-03-27 19:50:02.495540399,3,00:00:00
2023-03-27 19:50:02.505876289,3,00:00:00
2023-03-27 19:50:02.515374313,3,00:00:00
2023-03-27 19:50:02.524996951,3,00:00:00
2023-03-27 19:50:02.533788347,3,00:00:00
2023-03-27 19:50:02.542757334,3,00:00:00
2023-03-27 19:50:02.551354614,3,00:00:00
2023-03-27 19:50:02.559862107,3,00:00:00
2023-03-27 19:50:02.567440212,3,00:00:00
2023-03-27 19:50:02.575006943,3,00:00:00
2023-03-27 19:50:02.587038636,3,00:00:00
2023-03-27 19:50:02.599486908,3,00:00:00
2023-03-27 19:50:02.612445088,3,00:00:00
2023-03-27 19:50:02.624204608,3,00:00:00
2023-03-27 19:50:02.634627694,3,00:00:00
2023-03-27 19:50:02.645420588,3,00:00:00
2023-03-27 19:50:02.656219667,3,00:00:00
2023-03-27 19:50:02.666654891,3,00:00:00
2023-03-27 19:50:02.678210742,3,00:00:00
2023-03-27 19:50:02.688325101,3,00:00:00
2023-03-27 19:50:02.702497996,3,00:00:00
2023-03-27 19:50:02.712387517,3,00:00:00
2023-03-27 19:50:02.720674322,3,00:00:00
2023-03-27 19:50:02.730252437,3,00:00:00
2023-03-27 19:50:02.739221801,3,00:00:00
2023-03-27 19:50:02.746797109,3,00:00:00
2023-03-27 19:50:02.754475942,3.5,00:00:00
2023-03-27 19:50:02.762926959,3.5,00:00:00
2023-03-27 19:50:02.771647456,3.5,00:00:00
2023-03-27 19:50:02.780299435,3.5,00:00:00
2023-03-27 19:50:02.788259987,3.5,00:00:00
2023-03-27 19:50:02.796415432,3.5,00:00:00
2023-03-27 19:50:02.806758942,3.5,00:00:00
2023-03-27 19:50:02.815597732,3.5,00:00:00
2023-03-27 19:50:02.823834562,3.5,00:00:00
2023-03-27 19:50:02.83134748,3.5,00:00:00
2023-03-27 19:50:02.838844642,3.5,00:00:00
2023-03-27 19:50:02.846599905,3.5,00:00:00
2023-03-27 19:50:02.85444852,3.5,00:00:00
2023-03-27 19:50:02.862095161,3.5,00:00:00
2023-03-27 19:50:02.869935606,3.5,00:00:00
2023-03-27 19:50:02.878166487,3.5,00:00:00
2023-03-27 19:50:02.886897487,3.5,00:00:00
2023-03-27 19:50:02.895423571,3.5,00:00:00
2023-03-27 19:50:02.904077927,3.5,00:00:00
2023-03-27 19:50:02.911851137,3.5,00:00:00
2023-03-27 19:50:02.919595819,3.5,00:00:00
2023-03-27 19:50:02.928721799,3.5,00:00:00
2023-03-27 19:50:02.937733105,3.5,00:00:00
2023-03-27 19:50:02.9465024,3.5,00:00:00
2023-03-27 19:50:02.954912799,3.5,00:00:00
