minute,perf_rapl,igpm,x_rest
1140,40.33384615384615,72.34679796888757,32.01295181504141
1141,47.07416666666666,76.53224923163413,29.45808256496746
1142,45.241,77.44030918795457,32.19930918795456
1143,38.432,66.27341681469203,27.84141681469203
1144,40.93766666666667,67.46278663018491,26.525119963518247
1145,44.93566666666666,75.16294265725257,30.2272759905859
1146,45.906333333333336,73.7533609591624,27.84702762582908
1147,45.6865,75.03882297735419,29.352322977354195
1148,46.80766666666667,78.2751017666311,31.46743509996444
1149,49.5465,76.4564872881369,26.909987288136893
1150,42.46183333333333,71.32790290069222,28.86606956735889
1151,47.79690476190476,78.14941483954738,30.35251007764261
