minute,tegra,igpm
1287,11.726615652738275,13.196356754236602
1288,11.660994829935937,13.18614833909393
1289,11.584447128090344,13.590763245548102
1290,12.01710906111007,11.61484842965965
1291,12.154388547883398,11.576608814659458
1292,11.900287600019087,11.536606983614437
1293,11.842416283968138,11.951119630917542
1294,11.316895839677617,11.460048736624776
1295,12.051821304437611,11.82449858173715
1296,12.030294672423404,11.757425014750341
1297,12.399955708164333,11.386522560840168
1298,11.404873325364635,11.903638181008754
1299,12.269374026585703,11.546972642735323
1300,12.144733039662777,11.653439377006144
1301,11.854561814064265,11.538055719788362
1302,10.891198204615247,11.56392451135756
1303,11.879009755423375,11.515738430250119
1304,12.120334575600083,11.650127457637947
1305,11.662159014436012,11.573127121212153
1306,12.151219146413078,12.121983427631303
1307,11.629956239504455,11.572929769902384
1308,12.239307291007073,12.010696562682766
1309,11.093877672963668,11.906661426772605
1310,11.783263072682663,11.366946879942281
1311,12.108306784305485,11.480213071351871
