minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,pyaes-0-0.0.1
1050,,,,
1052,32.62873538306417,,7.0021033960030135,13.918818601624332
1053,15.872542702691138,,4.860164653819053,10.759911886425485
1054,26.219761746750972,,6.3405972060900835,27.887776284806524
1055,19.587152040350862,,5.043980789635464,13.884897919292658
1056,23.968043899862423,,5.82187138180757,13.848406910007917
1057,12.393710020099268,,5.2306080276923375,10.708388903293873
1058,17.843204647771287,,7.616684534295835,12.204671472497047
1059,25.097344017612976,,5.2712932168888615,15.458178591321923
1060,18.107849533725453,,6.561771099039082,10.160023761954207
1061,23.225248877864107,,6.4769166491572845,6.838285997472293
1062,16.909927867609774,,2.2762206009014387,5.365766091949082
1063,15.105095085251781,,3.9882713794030624,5.385715154811209
1064,27.14345557514374,,2.963896709560155,10.79734953452334
1065,,,,
