minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,pyaes-0-0.0.1
1050,,,,
1052,11.220335537037492,,8.955191493642102,9.494740233321773
1053,5.458233451566445,,6.21580440963281,7.339887904216153
1054,9.016424358647587,,8.109172194886618,19.023682906416248
1055,6.735609441418265,,6.450892154380613,9.47160119569981
1056,8.242105970876455,,7.445758813730477,9.44670880619989
1057,4.261936092271505,,6.689575098663161,7.304741434182886
1058,6.135902628574976,,9.74119699378002,8.325432537131343
1059,8.630448519075674,,6.7416085576974725,10.544816654753246
1060,6.226908436299538,,8.3920378500672,6.9306734389709
1061,7.986674392416072,,8.283515052729916,4.664745697568327
1062,5.814968381525564,,2.9111240166035257,3.660264326591425
1063,5.194324364264241,,5.100715015370103,3.6738726057992594
1064,9.334063230224482,,3.7906127773888554,7.365426044615092
1065,,,,
