minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,pyaes-0-0.0.1
1050,12.660411452442007,,6.222163609095043,11.579278570662872
1052,25.48164637270519,,8.699552340835783,18.36848457077254
1053,22.681464418609295,,9.14092501663327,17.17906199439618
1054,27.90432022127639,,8.607478017010894,25.729894558845725
1055,21.869240984643252,,7.076669042405688,23.62966682001356
1056,19.650159984340984,,5.414442989429464,17.151732924960847
1057,29.853974603394622,,7.7930631087249065,20.359935151189593
1058,20.772758847151408,,10.044867815280274,20.524893387812835
1059,35.80032599123041,,9.636793556859296,26.035913743697545
1060,25.827746800785555,,7.998916733047632,24.587799980580147
1061,32.23994253026248,,12.420640526508885,22.77185669420717
1062,29.17045784918563,,5.8790748343956265,15.789861548908211
1063,26.21150508039721,,7.899449699639944,14.677220390486905
1064,43.996692404770855,,11.450729919995045,33.28125319301268
