minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,pyaes-0-0.0.1
1050,4.677760079654675,,4.290169962465442,3.509702798509341
1052,7.674469702363027,,4.889458283120651,4.538297229042353
1053,6.5020187305272685,,4.890015319580169,4.03994347469214
1054,9.343612525038955,,5.378513257514957,7.067732373726609
1055,6.5776544110510695,,3.9719994086137933,5.83033697695318
1056,7.090014685544884,,3.6456735515623717,5.076773248857031
1057,8.30036448520062,,4.043394777958094,4.643763691024945
1058,6.064218297426429,,5.472273832430704,4.915415942220846
1059,9.93384033895004,,4.9900591996932215,5.926547028698675
1060,5.691536783485198,,3.2894035050816117,4.44489406534049
1061,10.731973922492154,,7.7156459475453385,6.218455180116651
1062,7.758295342942683,,2.9179308733846168,3.445086265875734
1063,6.17077287508832,,3.470462763082405,2.8345892445890093
1064,12.379014304466079,,6.012320951415223,7.681825266890642
