minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1106,2.141789021380082,7.56513486868102,13.224423687196085
1107,2.0382685141675436,10.508497419055285,10.416925286014262
1108,3.5476913836474706,6.664919181823042,10.475247706622511
1109,2.4074705876789757,7.099770911041433,9.071132040559563
1110,0.840746917290521,6.1669828866225975,10.197314929720187
1111,1.1280869266521536,6.970967697873476,9.452354637868119
1112,1.4447300606232971,6.643106185763075,9.480876394528243
1113,1.6393504712779083,5.402827714625036,8.708032843103155
1114,0.7746676089360275,6.212769674365459,7.951774074579042
1115,2.8514773405767078,8.232531279348514,8.613350681520636
1116,4.44534528284763,12.270440290626064,14.438297041784768
1117,,,
