minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1106,1.294631427693327,3.86548109119928,3.611003888938301
1107,0.9146321985309808,2.8937316264233637,4.430663975145927
1108,1.3952873565671045,3.7795797783670717,2.801293387504768
1109,1.247817977195681,3.6797731176785065,4.662924271543988
1110,1.3299802738706896,3.3317281852099194,3.7203157859095435
1111,1.4675409964260053,3.1943148779377206,2.452975691711584
1112,2.0357008756548853,3.3965945909177333,2.869233043573399
1113,2.473478470438834,3.141213318760198,2.2198492209934826
1114,1.605305181895491,4.402414026205766,3.119480524992348
1115,1.4032693458990344,4.742812464862444,3.905996263316058
1116,1.327003564397972,4.815295090548471,5.45066295070749
