minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1106,3.4041099478965284,5.394475682624383,9.736282341477338
1107,3.2395768473456505,7.493301146909802,7.669304017603923
1108,5.638618655052867,4.752558292363891,7.712243019507659
1109,3.8263780862531394,5.062638300127819,6.678484052898283
1110,1.3362637104974275,4.397494531759291,7.507619207394633
1111,1.7929552774690163,4.970792508434806,6.959153436316563
1112,2.2962205531448414,4.737004084956721,6.980152149174406
1113,2.6055457338044077,3.8525979020695664,6.411157749081941
1114,1.2312387856919438,4.430143746525691,5.854373645083689
1115,4.532072152935062,5.870376478910424,6.341449436668952
1116,7.0653290067878824,8.74969090596232,10.62997827761968
1117,,,
