,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
0,83.221646,52.07183199999999,72.90028699999999,73.840372
1,115.454527,73.42074700000002,58.654148,64.265038
2,83.25099600000001,52.308958,80.38902100000001,88.18728199999998
3,66.76468200000001,44.499335999999985,73.29491300000001,51.246632
4,91.74210000000001,64.347688,115.12525100000003,69.68149799999999
5,95.432194,59.68112999999999,111.16788100000002,113.07045599999995
6,81.96623200000002,41.301261000000004,118.27491200000001,82.27318500000001
7,98.34514400000002,36.607111,141.16348699999995,98.171021
8,72.071424,50.235217000000006,124.74132800000001,81.420616
9,75.37603800000004,45.71555200000001,116.94909100000005,69.59129899999999
10,82.66847399999999,64.892831,157.240357,75.072138
11,5.975525,2.842389,7.594362,4.862541
