,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
0,139.0,110.0,104.0,119.0
1,172.0,149.0,84.0,107.0
2,130.0,115.0,123.0,143.0
3,113.0,107.0,107.0,87.0
4,142.0,130.0,148.0,115.0
5,148.0,122.0,139.0,172.0
6,130.0,90.0,153.0,137.0
7,155.0,78.0,170.0,149.0
8,109.0,109.0,155.0,130.0
9,121.0,102.0,148.0,114.0
10,129.0,130.0,185.0,120.0
11,10.0,7.0,9.0,7.0
