minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1175,2.316666666666667,1.8333333333333333,1.7333333333333334,1.9833333333333334
1176,2.8666666666666667,2.4833333333333334,1.4,1.7833333333333334
1177,2.1666666666666665,1.9166666666666667,2.05,2.3833333333333333
1178,1.8833333333333333,1.7833333333333334,1.7833333333333334,1.45
1179,2.3666666666666667,2.1666666666666665,2.466666666666667,1.9166666666666667
1180,2.466666666666667,2.033333333333333,2.316666666666667,2.8666666666666667
1181,2.1666666666666665,1.5,2.55,2.283333333333333
1182,2.5833333333333335,1.3,2.8333333333333335,2.4833333333333334
1183,1.8166666666666667,1.8166666666666667,2.5833333333333335,2.1666666666666665
1184,2.0166666666666666,1.7,2.466666666666667,1.9
1185,2.15,2.1666666666666665,3.0833333333333335,2.0
1186,0.16666666666666666,0.11666666666666667,0.15,0.11666666666666667
