seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
65138,4.09,,,13.300741086104699,122.07,0.2216,0.5278,0.0,161706089868.0,3024150.0,0.53567445,32.0,2.966532,2.81,3.0,1.7,9.210741086104699
65139,4.14,,,13.85102293477374,122.03,0.25562,0.5821,0.0,161709114018.0,2822442.0,0.5523410833333333,33.0,3.02415,2.58,0.0,1.7,9.711022934773741
65140,4.09,,,14.089991086639174,122.04,0.2409,0.5976,0.0,161711936460.0,3239796.0,0.5690287666666667,34.0,2.822442,2.58,0.0,1.7,9.999991086639174
65141,4.11,,,13.426441209902066,122.06,0.23581,0.5568,0.0,161715176256.0,2992755.0,0.5857249,35.0,3.239796,2.58,0.0,1.7,9.316441209902067
65142,3.89,,,14.104076234497485,122.06,0.26702,0.5926,0.0,161718169011.0,2869013.0,0.6023938166666666,36.0,2.992755,2.58,0.0,1.7,10.214076234497485
65143,4.12,,,12.603641503902848,122.11,0.18303,0.4282,0.0,161721038024.0,3033308.0,0.6190701,37.0,2.869013,2.37,0.0,1.7,8.483641503902849
65144,4.01,,,15.878162525087076,122.02,0.26717,0.5953,0.0,161724071332.0,2967880.0,0.6357461666666667,38.0,3.033308,2.37,0.0,1.7,11.868162525087076
65145,4.24,,,12.800186922273403,122.14,0.1983,0.4116,0.0,161727039212.0,3110461.0,0.65242485,39.0,2.96788,2.37,0.0,1.7,8.560186922273402
65146,4.08,,,13.653715280037844,122.06,0.2355,0.5888,0.0,161730149673.0,2955693.0,0.6690993,40.0,3.110461,2.37,0.0,1.7,9.573715280037844
65147,4.02,,,12.866250678737085,122.04,0.17195,0.4113,0.0,161733105366.0,3008855.0,0.6857764,41.0,2.955693,2.37,0.0,1.7,8.846250678737086
65148,4.36,,,14.131133187964775,121.98,0.24316,0.5634,0.0,161736114221.0,3206717.0,0.7024500166666667,42.0,3.008855,2.37,0.0,1.7,9.771133187964775
65149,4.1,,,14.14030647843034,122.02,0.23873,0.5896,0.0,161739320938.0,2998755.0,0.7191203666666667,43.0,3.206717,2.18,0.0,1.7,10.04030647843034
65150,3.91,,,13.487087285471123,122.08,0.12485,0.6764,0.0,161742319693.0,2853214.0,0.7357935666666666,44.0,2.998755,2.18,0.0,1.7,9.577087285471123
65151,4.15,,,15.712922257241617,121.99,0.26519,0.6515,0.0,161745172907.0,3077540.0,0.7524692500000001,45.0,2.853214,2.18,0.0,1.7,11.562922257241617
65152,3.84,,,13.89205273396371,122.06,0.14133,0.7932,0.0,161748250447.0,2838804.0,0.7691408833333334,46.0,3.07754,2.18,0.0,1.7,10.052052733963711
65153,4.11,,,12.654088461424688,122.08,0.21247,0.4956,0.0,161751089251.0,2975767.0,0.7858158333333333,47.0,2.838804,2.01,0.0,1.7,8.544088461424689
65154,4.15,,,14.198937839588067,122.0,0.26341,0.5858,0.0,161754065018.0,3055165.0,0.80248245,48.0,2.975767,2.01,0.0,1.7,10.048937839588067
65155,4.98,,,13.925151075285097,122.01,0.23135,0.5861,0.0,161757120183.0,3693021.0,0.8191733,49.0,3.055165,2.01,0.0,1.7,8.945151075285096
65156,4.48,,,12.668208503175952,122.09,0.17559,0.4676,0.0,161760813204.0,3250086.0,0.8358466333333333,50.0,3.693021,2.01,0.0,1.7,8.188208503175952
65157,3.77,,,13.229560061612544,121.91,0.23102,0.5727,0.0,161764063290.0,2788774.0,0.8525224333333333,51.0,3.250086,2.01,0.0,1.7,9.459560061612544
65158,4.25,,,13.445675370793172,121.98,0.23774,0.5931,0.0,161766852064.0,3087867.0,0.8691865333333334,52.0,2.788774,2.01,0.0,1.7,9.195675370793172
65159,4.54,,,13.31409755652744,122.01,0.12594,0.4447,0.0,161769939931.0,3361162.0,0.8858778333333334,53.0,3.087867,1.85,0.0,1.7,8.77409755652744
65160,4.33,,,15.070549823322239,121.9,0.25538,0.6296,0.0,161773301093.0,3166903.0,0.9025443833333333,54.0,3.361162,1.85,0.0,1.7,10.740549823322239
65161,4.13,,,14.592076912579671,121.94,0.15136,0.8029,0.0,161776467996.0,3025889.0,0.9192329166666667,55.0,3.166903,1.85,0.0,1.7,10.462076912579672
65162,4.94,,,13.151094766710377,121.91,0.23241,0.5892,0.0,161779493885.0,3657145.0,0.9359058333333333,56.0,3.025889,1.85,0.0,1.7,8.211094766710378
65163,3.92,,,19.512510453487167,121.85,0.24741,0.9094,0.0,161783151030.0,2861209.0,0.9525800166666667,57.0,3.657145,1.78,0.0,1.7,15.592510453487167
65164,4.15,,,49.90270395988227,121.69,0.44616,0.8449,0.0,161786012239.0,3075968.0,0.9692565166666667,58.0,2.861209,1.78,0.0,1.7,45.75270395988227
65165,4.41,,,76.30116012076773,121.36,0.78287,0.9819,0.0,161789088207.0,3237417.0,0.9859305666666667,59.0,3.075968,1.78,0.0,1.6,71.89116012076774
65166,3.99,,,74.20464054499632,121.65,0.53596,0.9417,0.0,161792325624.0,2921232.0,1.00259835,60.0,3.237417,1.78,0.0,1.7,70.21464054499633
65167,4.49,,,81.5819673948536,121.38,0.8094,0.9569,0.0,161795246856.0,3307985.0,1.0192923166666668,61.0,2.921232,1.78,0.0,1.7,77.09196739485361
65168,4.15,,,90.35571357150435,121.38,0.83299,0.9809,0.0,161798554841.0,3044218.0,1.0359651833333332,62.0,3.307985,1.78,0.0,1.7,86.20571357150435
65169,3.78,,,94.89700362851819,121.4,0.85213,0.9736,0.0,161801599059.0,2799633.0,1.0526375166666666,63.0,3.044218,1.8,0.0,1.6,91.11700362851819
65170,4.38,,,78.3821553712072,121.7,0.50994,0.9538,0.0,161804398692.0,3211752.0,1.06931055,64.0,2.799633,1.8,0.0,1.7,74.00215537120721
65171,5.0,,,71.60117930462685,121.64,0.56104,0.9766,0.0,161807610444.0,3650496.0,1.0859838333333334,65.0,3.211752,1.8,0.0,1.7,66.60117930462685
65172,3.83,,,61.9096750510409,121.72,0.45882,0.9672,0.0,161811260940.0,2835864.0,1.1026515833333332,66.0,3.650496,1.8,0.0,1.6,58.0796750510409
65173,4.12,,,61.87329797975492,121.75,0.47807,0.9633,0.0,161814096804.0,3033524.0,1.11932495,67.0,2.835864,1.73,0.0,1.7,57.753297979754926
65174,6.45,,,62.67488484493915,121.83,0.39886,0.9624,0.0,161817130328.0,4451440.0,1.1359965166666666,68.0,3.033524,1.73,0.0,1.7,56.22488484493915
65175,35.77,,,71.52571335126989,121.61,0.66654,0.9794,0.0,161821581768.0,25147704.0,1.152652,69.0,4.45144,1.73,19.0,1.7,35.75571335126988
65176,49.51,,,68.53546967563989,121.64,0.62553,0.9746,0.0,161846729472.0,35122044.0,1.1693219333333333,70.0,25.147704,1.73,19.0,1.8,19.02546967563989
65177,51.12,,,77.27705366912113,121.61,0.61532,0.9745,0.0,161881851516.0,38751536.0,1.1859915833333334,71.0,35.122044,1.73,42.0,1.9,26.157053669121133
65178,51.62,,,67.12334488595597,121.71,0.54037,0.9772,0.0,161920603052.0,37256476.0,1.2026662,72.0,38.751536,1.73,42.0,1.9,15.503344885955975
