minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
35,,,
36,14.610570287809868,22.025450523929212,38.19090283938503
37,16.28323723864295,25.48369971235376,33.657331119883345
38,16.00313431325031,21.67451524279885,42.38635856318335
39,14.081668508859526,24.1650387414937,34.35948618982472
40,15.59548634587045,19.301938985332566,42.149497149271156
41,,,
