minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,cp
1114,4.335290733333333,15.45759879999999,2.171583150000001,0.0
1116,1.9509356333333336,7.594705583333333,1.2360672333333333,0.0
1117,1.9472712833333334,7.0029832166666655,1.2411444999999999,0.0
1118,2.32838265,8.1786883,1.4642817833333328,0.0
1119,1.5647812833333326,9.003295200000002,1.0969452999999996,0.0
1120,1.8440372500000002,9.50803395,1.296306233333333,0.0
1121,2.1336352333333326,6.506310666666668,1.158069266666666,0.0
1122,2.358272000000001,10.203137083333337,1.0463907833333335,0.0
1123,2.3819218666666666,8.273018216666667,1.1174321499999997,0.0
1124,2.487708583333334,7.984386099999999,1.2507979333333337,0.0
1125,2.18453815,8.193696400000002,1.2700882333333334,0.0
1126,2.545439983333334,9.221919133333335,1.085377766666667,0.0
1127,2.239917666666666,7.026634083333335,0.8853067666666667,0.0
