,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,cp
0,260.117444,927.4559279999994,130.29498900000004,0.0
1,117.05613800000002,455.68233499999997,74.164034,0.0
2,116.83627700000001,420.17899299999993,74.46866999999999,0.0
3,139.702959,490.72129799999993,87.85690699999996,0.0
4,93.88687699999996,540.1977120000001,65.81671799999998,0.0
5,110.64223500000001,570.482037,77.77837399999999,0.0
6,128.01811399999997,390.3786400000001,69.48415599999997,0.0
7,141.49632000000005,612.1882250000002,62.78344700000001,0.0
8,142.915312,496.381093,67.04592899999999,0.0
9,149.26251500000004,479.06316599999997,75.04787600000002,0.0
10,131.07228899999998,491.62178400000016,76.20529400000001,0.0
11,152.72639900000004,553.3151480000001,65.12266600000002,0.0
12,134.39505999999997,421.5980450000001,53.11840600000001,0.0
