minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,cp
1114,4.335290733333333,15.45759879999999,2.171583150000001,0.0
1116,2.85,8.433333333333334,2.2333333333333334,0.0
1117,2.9,7.833333333333333,2.283333333333333,0.0
1118,3.4166666666666665,9.05,2.6166666666666667,0.0
1119,2.316666666666667,10.083333333333334,2.033333333333333,0.0
1120,2.683333333333333,10.516666666666667,2.4,0.0
1121,3.033333333333333,7.333333333333333,2.05,0.0
1122,3.566666666666667,11.366666666666667,1.8666666666666667,0.0
1123,3.4166666666666665,9.3,2.0,0.0
1124,3.716666666666667,8.966666666666667,2.25,0.0
1125,3.283333333333333,9.116666666666667,2.3666666666666667,0.0
1126,3.6666666666666665,10.3,1.95,0.0
1127,3.216666666666667,7.916666666666667,1.65,0.0
