minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,cp
1114,24.581092564434105,73.80349544453871,9.719875935526732,0.0
1116,24.62659541232598,71.56334639852334,10.68879447216732,0.0
1117,26.71629714415731,75.49932119500312,10.803277913419816,0.0
1118,23.590174619082344,73.2870759211188,9.988394684554802,0.0
1119,24.01435191597342,71.11945818315145,10.007536664238614,0.0
1120,22.477723333474636,65.39727873500122,9.564537007609108,0.0
1121,26.618350766031817,77.55927971542617,10.692672952885921,0.0
1122,22.35522724327617,65.99382400080938,8.677268319695788,0.0
1123,25.0190404977479,70.5322809248242,10.042406466200024,0.0
1124,24.3361337340303,70.52536991602665,10.136835245484185,0.0
1125,24.574630986767822,75.53229609099161,10.186370544971233,0.0
1126,23.135437073550918,72.72800863214418,8.960666663722579,0.0
1127,,,,
