minutes,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1053,4.233333333333333,0.5166666666666667,0.8333333333333334
1054,4.166666666666667,0.5833333333333334,0.85
1055,4.233333333333333,0.48333333333333334,0.7166666666666667
1056,4.3,0.2833333333333333,0.6333333333333333
1057,4.266666666666667,0.36666666666666664,0.75
1058,4.25,0.48333333333333334,0.8333333333333334
1059,4.25,0.38333333333333336,0.5666666666666667
1060,4.366666666666666,0.38333333333333336,0.5666666666666667
1061,4.266666666666667,0.36666666666666664,0.7833333333333333
1062,4.05,0.8,1.25
1063,4.083333333333333,0.7666666666666667,1.4833333333333334
1064,4.166666666666667,0.65,0.9833333333333333
1065,4.2,0.5833333333333334,1.1333333333333333
1066,2.7333333333333334,0.4666666666666667,0.6666666666666666
