minutes,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1053,17.09490619776281,1.0362210755207695,0.16987418325389061
1054,17.012844506976283,1.0110333872963486,0.18886330930677692
1055,16.06917998787627,1.0185745864673024,0.19417436196616475
1056,18.153553331299705,0.9917262043623501,0.2068914915741588
1057,16.271986845392014,0.9573965612866985,0.21341510288115742
1058,17.176345214346945,0.9890288559914108,0.1911136603027381
1059,17.2761819778108,0.969812956636143,0.21704063455978329
1060,16.26024587495686,0.9658189621172837,0.2119719624621026
1061,16.74820197283347,0.9460349180707769,0.2130296795116085
1062,17.748001304694117,0.9520960318672713,0.207060109734379
1063,17.301393291355808,0.9578632696268833,0.19666598852900594
1064,16.37027648028536,0.9351851837158298,0.19615113258855787
1065,17.509233965285244,0.9459743641998705,0.19111280968084876
1066,16.737369646073876,1.0134990182371035,0.1676538863695448
