,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,227.229341,8.870650000000001,3.4718470000000003
1,226.65855599999998,9.232419,3.670257
2,228.40332200000003,8.155106,3.0443100000000007
3,231.88138600000002,5.2274590000000005,2.551272
4,230.43003599999994,5.981435,3.193021999999999
5,228.12037899999996,7.962864000000001,3.4839500000000005
6,230.07154899999998,7.2576170000000015,2.3381060000000002
7,230.00359200000003,7.149211999999999,2.4932239999999997
8,229.59943,6.711177,3.3115840000000003
9,218.744014,14.437881,4.975211000000001
10,220.78329800000003,12.469882000000002,6.112280000000001
11,224.549736,10.844164,4.127547000000001
12,223.42438899999993,11.342848,4.707753
13,146.845156,7.5423290000000005,2.870584
