minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1106,22.01777327138909,8.153176213979034,21.651227139191732
1107,21.768154927272427,8.706885764352139,23.227686248600556
1108,20.34221780913498,9.635795280332331,22.416228552866336
1109,18.995306736977994,10.595781712335016,23.350150904460918
1110,19.509718740544496,12.255824731682004,22.964014606910816
1111,19.816312961777385,13.426830673280111,22.273510302572646
1112,22.068385932484123,12.819338424473367,22.27148632916972
1113,20.795290648156204,14.558351774379696,19.83279565344598
1114,22.287891045555654,14.846019545053483,22.718844293037563
1115,21.919531541147204,14.074619278106079,22.979702628842297
1116,21.96380963462594,14.866588845082724,24.533489014327607
