minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1106,13.282208463270393,5.467046945437421,19.300525185407064
1107,13.161003111374493,5.6356202631672945,20.139749945173968
1108,13.988391525500402,5.570900381787148,19.113240199452207
1109,12.611732890556034,5.720957663956049,19.80346663333234
1110,12.911578611870626,6.197475421346176,19.141163867959094
1111,13.183138559195479,6.540576955574744,19.097945000259244
1112,13.034952364548037,7.047450623464247,19.570332734012272
1113,12.611112407457005,6.914314356866373,18.70592435904009
1114,13.662508932121584,7.187000431918758,19.073248025932017
1115,14.291960946479497,6.564179049221825,19.199079482752442
1116,14.36051590620557,6.888072110991651,19.990342755124832
