minutes,dd-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1
1123,6.792638252801043,19.087855212780138,10.518174165941005
1124,5.529768337079187,12.26086778064065,15.063899424159565
1125,9.470606489421424,14.835291545246445,10.12735033867877
1126,5.7577880757261335,8.61457299092498,8.444164047911697
1127,4.806577689750373,8.954447300795435,9.09693393944081
1128,4.782810212824227,18.293781706225932,10.529670879868434
1129,6.019529427809513,14.85633538385021,12.92887941702845
1130,5.043999701950486,21.081311874096215,11.860171977486138
1131,5.788811857937105,13.298748851827416,11.85071995088124
1132,7.649543330626384,12.794443553967664,11.070269119597699
1133,8.77940332064629,14.017019894973693,14.270462660769194
1134,10.065575301734308,14.409762411924946,13.747629652899025
