minutes,dd-0-0.0.1,image_processing-0-0.0.1,video_processing-0-0.0.1
1342,4.110553104198656,11.561258915266333,3.2765064942099924
1343,6.772065131938531,6.356082385407322,2.429852972472737
1344,4.595618576744599,7.635628809971908,4.332061627677683
1345,4.297482874119594,6.448554597222538,5.900307931360323
1346,4.795586380206006,5.753098440436797,2.9754584882932096
1347,4.664635469752581,9.778403075251891,4.46769992039341
1348,5.192566811980422,7.501217120979961,5.2302735715677455
1349,4.257355672287653,7.822419093716545,5.369567594608233
1350,7.576689178342261,6.271886371026673,3.9367969961837415
1351,5.5040837856353155,5.939800564978088,5.19699368252476
1352,4.901738010255511,5.587513835367781,4.240985674228484
1353,,,
