minutes,dd-0-0.0.1,image_processing-0-0.0.1,video_processing-0-0.0.1
1342,0.8543987058524171,3.0054081992922836,32.31860824395601
1343,0.9169178002746861,1.9011282602502804,21.206495539075924
1344,0.8305274461919093,2.449598227170694,26.341183344373494
1345,0.6058885545531713,2.325633504923101,44.224964927507465
1346,0.6396024292617886,1.7548118512671944,28.42120904990825
1347,0.7070678713596563,3.248358194919708,34.363716834287885
1348,0.7164035086137565,3.574542465587443,37.436955624814665
1349,0.6381458181592173,3.4360579614226183,36.71319890119298
1350,0.7005717341027409,2.712952141871661,30.931298498326758
1351,0.6967700762770845,2.8422192683660796,41.70318864224808
1352,0.6584747391827874,1.958708045960961,32.18335330415683
