minutes,dd-0-0.0.1,image_processing-0-0.0.1,video_processing-0-0.0.1
1342,2.8838657837156187,17.040472559200627,25.628283013202786
1343,4.751118991539802,9.368412926859602,19.005901489604142
1344,3.2241761224163263,11.254373261786832,33.88465782715584
1345,3.015011241216749,9.504710383691489,46.151216790555225
1346,3.364468752539042,8.47965752027142,23.273536117437537
1347,3.272596724510186,14.412669978059592,34.945597751825346
1348,3.642980732552027,11.05626000139798,40.910320661803716
1349,2.9868589557636835,11.529688841846433,41.999855094541026
1350,5.3156239857237635,9.244313995838088,30.792964324049112
1351,3.8615335935897206,8.754843159941617,40.650010964097085
1352,3.438942198332193,8.235597600881608,32.29644133210679
1353,3.0702049215521234,9.102284523895088,35.316551046067545
1354,5.256586049192413,14.008935215281191,36.38218268173831
1355,,,931.7096886715822
