minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
927,2.7265425962219383,1.9420603673259804,2.4706878341139666,2.5389596836107033
928,2.8026033672099984,1.630161163281908,3.458855178446871,2.237162043740723
929,2.5499736880030217,1.1637591376625112,2.7153774966978994,2.2366687728758192
930,4.4496352059302104,1.1091444126675407,3.640145121852541,2.1591319545803906
931,,1.1355743986145845,5.905120984947394,3.330846223315597
