minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
927,4.801101331278196,6.9149942346229,8.490340786967637,5.001390161915644
928,4.7423793085021035,6.842256671345272,8.403231932271838,4.458037457677113
929,4.009021341537739,4.746791343526014,8.512132920637399,3.692427129891585
930,4.175655211313663,7.762658679136534,6.931800461831831,3.90849749540071
931,4.255252550583623,,7.314875295907655,4.997668421711957
