minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1088,4.748761720114494,5.159347243502107,11.718429629597539
1089,6.159193940392752,5.816877629916646,11.156881367494872
1090,5.331462733302887,4.8710656691443655,10.513532362727386
1091,6.170370473364653,5.041604288985964,10.26584315580031
1092,7.962579275569777,7.648807906980835,13.028908486905557
1093,7.579950980492922,7.8405020687279,15.058476550628143
1094,6.922383386080367,6.10569401675903,13.012782083952745
1095,6.648427016113375,6.227552583019241,15.995189946393841
1096,5.77844264006213,5.753032085683636,19.39766526460135
1097,7.255326237117666,6.762343492330203,25.009597629978135
1098,7.422452244443296,8.795327728817877,33.353471574346976
1099,6.180237438545349,7.3316116094656,29.564266550531016
