minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1088,2.283333333333333,1.9833333333333334,2.6
1089,3.216666666666667,2.6666666666666665,3.4833333333333334
1090,2.183333333333333,2.0833333333333335,3.1
1091,1.9666666666666666,1.9,3.316666666666667
1092,2.7666666666666666,2.566666666666667,4.716666666666667
1093,2.9,2.4833333333333334,4.533333333333333
1094,2.2333333333333334,1.5666666666666667,4.583333333333333
1095,2.8333333333333335,1.5166666666666666,5.083333333333333
1096,2.066666666666667,1.9666666666666666,4.15
1097,2.4833333333333334,2.1166666666666667,7.1
1098,2.5166666666666666,2.8666666666666667,8.716666666666667
1099,1.3,1.1833333333333333,3.0
