,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
0,137.0,119.0,156.0
1,193.0,160.0,209.0
2,131.0,125.0,186.0
3,118.0,114.0,199.0
4,166.0,154.0,283.0
5,174.0,149.0,272.0
6,134.0,94.0,275.0
7,170.0,91.0,305.0
8,124.0,118.0,249.0
9,149.0,127.0,426.0
10,151.0,172.0,523.0
11,78.0,71.0,180.0
