minute,tegra,igpm
1318,10.570884018608766,12.101681954758542
1319,10.523151481295775,11.570538983835013
1320,10.307137474797534,11.710612833470309
1321,10.388502810597812,11.414257356601265
1322,10.199775799350554,11.396473467507127
1323,10.265563821037405,12.02202278009727
1324,10.244718077247907,11.850791683519393
1325,10.74885593314661,12.124531211347113
1326,10.416112121438431,11.463888745826866
1327,10.54934252162714,12.149666472911173
1328,10.608093723807002,12.039905342247936
1329,10.430894099841,11.833036418198478
1330,10.20202611951828,11.925620197203143
1331,10.407653312246566,11.840842492047994
1332,10.388594376040114,11.788152803440692
1333,10.59667976185647,11.749880051450015
1334,10.37399107821482,11.662026779788075
1335,10.371666941316327,11.729454899289705
1336,10.483686003013522,11.784636429778097
1337,10.293022024483498,11.260640917851996
