minutes,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1318,0.5179910281922437,1.3162032887012844,-14.877602583829507
1319,0.5555450674031023,1.3471171441216014,-18.924877297465038
1320,0.6024205797452963,2.4488404221419007,-20.09101015158649
1321,0.47021691137272065,2.637775125721341,-20.300089003709846
1322,0.8252170384835059,4.156532292583435,-21.408655690370548
1323,0.8531735113094285,2.1562281317600607,-20.410362787029882
1324,1.324005976660741,3.448698559453852,-20.95437760303249
1325,0.4135018556999761,0.9746108792635939,-17.677241559239725
1326,0.6043267170982284,1.598776301383607,-19.67042153141792
1327,0.48146116096607666,1.5072397953569387,-19.177844199293112
1328,0.48552992402870543,1.3974172202124466,-19.40887188202897
1329,1.0289110246277176,1.5451422659241727,-20.043365880241865
1330,0.6188726118685087,2.4935206265863656,-20.59780914292332
1331,0.921838211060508,2.6720691472399327,-20.5983268036276
1332,1.5518403183620466,1.73942816891121,-20.62285264355543
1333,0.7414854445891255,1.1194426605655097,-19.14374634885115
1334,0.5391713750986876,1.473709481789763,-19.623540878417494
1335,0.5768971511731101,1.6088897182268111,-19.876621410081004
1336,0.9583040387539676,1.5090414732250772,-19.87653636433918
1337,-0.18979194715894385,11.823606701598294,-81.67757093782544
