,timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,LLC_MISSES,UNHALTED_CORE_CYCLES,UNHALTED_REFERENCE_CYCLES,time_enabled,time_running
0,1691184478674,sensor,,0,3,1588916,70642,3242192,10844886,958570285,958570285
1,1691184478674,sensor,,0,11,7334714,191732,15580750,43550442,958581341,958581341
2,1691184478674,sensor,,0,10,23125992,448582,31127008,89580504,958515750,958515750
3,1691184478674,sensor,,0,4,12262268,356537,25900545,88985286,958544702,958544702
4,1691184478674,sensor,,0,5,65070964,430261,36365546,62231832,958498489,958498489
5,1691184478674,sensor,,0,6,14622121,829585,35621682,119423538,958488676,958488676
6,1691184478674,sensor,,0,7,100695561,371958,46841081,89579490,958443470,958443470
7,1691184478674,sensor,,0,8,10580369,494049,31749262,110196060,958412522,958412522
8,1691184478674,sensor,,0,9,3466060,130639,8794202,24933324,958378361,958378361
9,1691184478674,sensor,,0,0,24239784,302861,24600522,84287268,958340909,958340909
10,1691184478674,sensor,,0,1,10742720,171112,10312262,31339542,958308250,958308250
11,1691184478674,sensor,,0,2,134551857,749710,81910432,116792052,958332437,958332437
12,1691184479674,sensor,,0,3,62854385,330668,30560882,44879094,1958841222,1958841222
13,1691184479674,sensor,,0,11,875544,54153,3477088,12741534,1958847024,1958847024
14,1691184479674,sensor,,0,10,5444052,359084,21312050,78288132,1958778395,1958778395
15,1691184479674,sensor,,0,4,8735620,443002,25217142,91993356,1958817318,1958817318
16,1691184479674,sensor,,0,5,4663685,455379,13439181,49433046,1958757731,1958757731
17,1691184479674,sensor,,0,6,13731791,676627,30592383,104534820,1958764487,1958764487
18,1691184479674,sensor,,0,7,65956580,629509,45477472,72882966,1958734252,1958734252
19,1691184479674,sensor,,0,8,6875923,447740,20251457,74340474,1958710425,1958710425
20,1691184479674,sensor,,0,9,3443441,194402,10589752,38063142,1958670699,1958670699
21,1691184479674,sensor,,0,0,23567632,548770,28956796,106114944,1958639908,1958639908
22,1691184479674,sensor,,0,1,6568496,169617,9011849,33542340,1958607689,1958607689
23,1691184479674,sensor,,0,2,8187391,149460,7789103,28272738,1958574238,1958574238
24,1691184480674,sensor,,0,3,1515103,76753,3062287,9899214,2959098429,2959098429
25,1691184480674,sensor,,0,11,3051797,337641,10724343,39063882,2959124492,2959124492
26,1691184480674,sensor,,0,10,6277891,464429,24671318,89579802,2959041834,2959041834
27,1691184480674,sensor,,0,4,5846795,310649,18135784,65327886,2959080992,2959080992
28,1691184480674,sensor,,0,5,2600154,257589,7858705,28719366,2959019743,2959019743
29,1691184480674,sensor,,0,6,9744618,754651,27918783,100966242,2959049027,2959049027
30,1691184480674,sensor,,0,7,18317029,280476,15757359,57973656,2959007127,2959007127
31,1691184480674,sensor,,0,8,5697714,374076,20604230,75012444,2958978890,2958978890
32,1691184480674,sensor,,0,9,3832376,216212,10962591,39851682,2958942513,2958942513
