minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1088,22.891860904182234,4.952767896276226,9.631770644510397
1089,20.131795138395333,3.7474296407623053,11.650686284123799
1090,20.280439311994265,5.914367990026868,12.281828483007498
1091,21.489526506511172,5.027279997324663,13.426673956284736
1092,23.903248006622864,3.6838969869857148,8.24641851954783
1093,15.579854089477923,3.1182384013130586,8.686647343515833
1094,10.709834894601856,5.45117198706511,9.968756503804112
1095,22.484410495589376,4.692323116461979,7.9951124027259155
1096,17.21797265409797,4.1969645452141835,9.306649176004187
1097,16.000446236214355,4.191530926503019,7.1636240641219935
1098,11.29321766596188,2.198275822947305,6.407132156871333
1099,29.42418700408655,6.765024588734695,14.407142787780506
