minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1088,6.580645560018201,4.537495768223573,7.752989325589671
1089,5.658614284990842,3.9741755348400534,5.36462614882962
1090,7.042618710098271,4.317190001879374,5.776191894585463
1091,7.561413668154735,4.739306876257657,5.6235417973702795
1092,7.066611632166015,5.012269795918612,5.358535224813812
1093,6.569435352633574,4.7630685259002625,6.806227069658924
1094,7.468397894599671,5.940566661909753,5.814462125222544
1095,6.292589878520218,6.486037696587691,6.209660353014406
1096,7.948265069214283,4.737931896599627,8.878384519637672
1097,7.774022666119699,5.235883284282101,6.86921736185119
1098,8.103953804752395,4.6742790293805,7.548030334736232
1099,13.577312869525931,9.966610471502085,19.416710628836725
