minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1088,34.719319563989124,5.114342193598396,13.09210703252319
1089,24.023787700543714,4.479407730788099,11.257738043964775
1090,25.86685519985332,4.866029217926294,14.011196485349371
1091,25.18325984274442,5.341809307107052,15.043332171257644
1092,23.996511416717702,5.649473677195572,14.05893008547553
1093,30.47954314558385,5.368591746929416,13.069804473663613
1094,26.03823636800362,6.69578381662791,14.858278523862529
1095,27.808007095862095,7.310599933389012,12.519024075980006
1096,39.75904730474134,5.340259527924965,15.812967901090076
1097,30.761625319595616,5.901514881642326,15.466314951905552
1098,33.80147531035834,5.268514547611794,16.12270857483296
1099,86.95161993568378,11.233653774076902,27.011883816060806
