minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1088,1.7679840372198508,1.4919948186843317,2.6143804313393146
1089,1.3428853433696593,1.3553834808656928,1.9146237899075482
1090,1.6711164261186928,1.458675870848368,1.93554758911559
1091,2.2044604768379235,1.3949102402122484,1.7845989166484084
1092,2.144584093359102,1.511338596807534,1.5512395949494795
1093,1.9099464151195815,1.5279374188215746,1.9602743402860112
1094,2.1997225711966855,1.7861826201904223,1.629129919724414
1095,1.6620131751827911,1.838462616894962,1.6846566027158563
1096,2.027377778388462,1.3293315214942882,2.3531092750941296
1097,1.8935375694484815,1.5538978076046597,1.699480728799239
1098,1.9889844720028929,1.6255673054521633,1.7957653894479904
1099,3.3246895545383146,2.9803572451479075,4.563679564503738
