minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1088,11.707678915268687,1.6816703405576574,3.5173807852083634
1089,8.574039304711706,1.5276917662915,2.6716525738173336
1090,8.66773994593392,1.644115594621115,3.3246639581197934
1091,7.9917638834040785,1.5722435154122363,4.385744870849628
1092,6.946737697625778,1.7034732701233262,4.2666216003322335
1093,8.77847090912918,1.7221822805834448,3.79981305254501
1094,7.295544972244096,2.013257886406453,4.376318870436849
1095,7.544203724390847,2.072184176740359,3.3065531611607772
1096,10.537658374083486,1.49832785239605,4.033441191740375
1097,7.610588901660092,1.7514429826308937,3.767167871787759
1098,8.041769413045614,1.8322237382632012,3.9570582180719174
1099,20.43700081782337,3.359246507203703,6.614425758224102
