minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1088,5.111861507133078,4.394145428609866,4.8413344444446835
1089,4.495525683482141,3.324757220578303,5.8561266552682705
1090,4.528718635005848,5.2472866911515865,6.173365362414991
1091,4.798713560900637,4.460253313141316,6.748813016632406
1092,5.337709061397771,3.2683904119560467,4.144997996266433
1093,3.4790555796275098,2.766532432651943,4.366275583490584
1094,2.391557111700946,4.836334544475167,5.01071776015095
1095,5.020875891395261,4.163076203765607,4.018680935325722
1096,3.8448552526925965,3.7235891034296986,4.677914672296698
1097,3.572975808048592,3.7187683423279276,3.600739802546404
1098,2.5218292614978677,1.950332392012573,3.2204950414646323
1099,6.570561019676464,6.00199777045316,7.241638033009879
