minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1028,0.9409072833333333,2.854148616666667,0.14126521666666667,0.04463166666666667
1029,0.8331870333333334,2.9708389666666672,0.13482179999999996,0.053636
1030,1.1049269000000002,2.7262218,0.10760843333333334,0.053670883333333336
1031,0.7087248166666666,3.1822475166666684,0.07436544999999999,0.029326249999999998
1032,0.8062122333333335,3.0025110666666674,0.1263641,0.04786616666666667
1033,0.6421501500000001,3.2529286333333327,0.06690133333333333,0.03260715
1034,0.7930110000000002,3.06791375,0.08616831666666667,0.046175600000000004
1035,0.9322622333333335,2.915263916666667,0.09930516666666667,0.04618511666666667
1036,0.9407751166666665,2.9399596833333335,0.08032408333333334,0.0331724
1037,1.0741156833333332,2.743439116666667,0.13320640000000003,0.04211386666666666
1038,0.5766820666666667,3.3143124833333335,0.07306868333333334,0.030567316666666663
1039,0.9704175833333334,2.8855036,0.09363428333333332,0.04377371666666666
1040,1.21943555,2.513348633333334,0.19418446666666667,0.0639518
1041,1.0888593833333333,2.682379083333333,0.14577095,0.07401583333333334
1042,0.8724341500000001,2.9479166000000006,0.11965120000000001,0.052770533333333335
1043,0.8253726333333332,2.9469029333333334,0.15482191666666667,0.06449083333333332
1044,0.572754,3.1884895500000003,0.16642356666666663,0.06427238333333334
1045,0.9729487166666666,2.809023466666667,0.14163908333333333,0.0677582
1046,0.7108721666666666,2.073293216666667,0.07965286666666667,0.02725945
