,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,56.454437,171.248917,8.475913,2.6779
1,49.99122200000001,178.25033800000003,8.089307999999997,3.21816
2,66.29561400000001,163.573308,6.456506,3.220253
3,42.523489,190.9348510000001,4.461926999999999,1.759575
4,48.37273400000001,180.15066400000003,7.581846,2.87197
5,38.529009,195.17571799999996,4.01408,1.956429
6,47.580660000000016,184.074825,5.1700990000000004,2.7705360000000003
7,55.93573400000001,174.91583500000002,5.95831,2.771107
8,56.44650699999999,176.397581,4.819445,1.990344
9,64.446941,164.60634700000003,7.992384000000001,2.5268319999999997
10,34.600924,198.85874900000002,4.384121,1.8340389999999998
11,58.225055000000005,173.130216,5.618056999999999,2.6264229999999995
12,73.166133,150.80091800000002,11.651068,3.837108
13,65.331563,160.942745,8.746257,4.44095
14,52.34604900000001,176.87499600000004,7.179072000000001,3.166232
15,49.52235799999999,176.814176,9.289315,3.869449999999999
16,34.36524,191.30937300000002,9.985413999999999,3.856343
17,58.376923,168.54140800000002,8.498345,4.065492
18,42.65233,124.39759300000001,4.779172,1.635567
