minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1028,1.3,3.183333333333333,0.5166666666666667,0.6166666666666667
1029,1.2166666666666666,3.3,0.43333333333333335,0.7333333333333333
1030,1.5333333333333334,3.05,0.36666666666666664,0.7333333333333333
1031,0.95,3.5,0.2833333333333333,0.45
1032,1.05,3.3333333333333335,0.5333333333333333,0.65
1033,0.8666666666666667,3.6333333333333333,0.21666666666666667,0.48333333333333334
1034,1.05,3.466666666666667,0.31666666666666665,0.65
1035,1.3333333333333333,3.2,0.31666666666666665,0.65
1036,1.2833333333333334,3.316666666666667,0.2833333333333333,0.43333333333333335
1037,1.4166666666666667,3.066666666666667,0.48333333333333334,0.6166666666666667
1038,0.7666666666666667,3.7,0.3,0.4166666666666667
1039,1.3833333333333333,3.25,0.2833333333333333,0.5666666666666667
1040,1.6833333333333333,2.7666666666666666,0.65,0.9333333333333333
1041,1.5666666666666667,2.9833333333333334,0.48333333333333334,1.0
1042,1.2,3.283333333333333,0.4166666666666667,0.7333333333333333
1043,1.1,3.283333333333333,0.6166666666666667,0.8666666666666667
1044,0.8166666666666667,3.5166666666666666,0.6,0.8666666666666667
1045,1.3,3.1166666666666667,0.5333333333333333,0.9166666666666666
1046,0.9666666666666667,2.3333333333333335,0.26666666666666666,0.4
