,1_pyaes_2000-0-0.0.1,2_pyaes_1500-0-0.0.1,4_pyaes_500-0-0.0.1,5_pyaes_250-0-0.0.1
0,86.0,75.0,162.0,322.0
1,73.0,74.0,160.0,301.0
2,78.0,113.0,155.0,275.0
3,76.0,89.0,146.0,280.0
4,63.0,42.0,129.0,248.0
