minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1151,45.247165777830766,5.653671207629297,11.913705719164133,29.402610517375454
1152,32.20626557222618,12.840712000536483,13.349781225203525,28.653473403390755
1153,34.37914360094974,16.16744447504147,15.837212056194327,26.718787520087957
1154,30.991704962987335,21.64625800404645,12.225043931540268,20.084354034393378
1155,30.63074685857105,23.273509262189947,10.668527512932632,25.289788320462904
1156,28.086857324468948,22.95318893310847,13.930588606450037,25.952586412340487
1157,32.864917814026164,18.964814975447343,18.17114145763834,29.540925822739045
1158,31.49048105128874,17.640569981086273,17.225525101313558,21.68622021851958
1159,37.97571561327886,28.322999739274334,12.564225347127756,29.178176876534582
1160,34.41046448883438,32.43176925803481,12.54755919383455,22.801526124220864
1161,48.408889142616545,13.23500141906334,11.543984065314802,27.47969260983192
1162,38.389808120714996,24.334474553595864,14.22815241734395,26.642060606704973
