,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,89.0,52.0,82.0,88.0
1,84.0,67.0,89.0,62.0
2,82.0,70.0,78.0,61.0
