minute,tegra,igpm
1090,18.12727952242833,15.506661390564858
1091,18.447367103471638,15.991193987884989
1092,18.388235210528766,15.023588119268066
1093,18.264182170597476,14.410452979216943
1094,18.353388526627555,15.764067920923605
1095,18.603457640203477,14.548585178645745
1096,18.59570635781316,13.955903305362101
1097,18.27518244026716,15.702492379419361
1098,18.34580475269598,14.22709228855891
1099,18.29919201082477,15.074174348400662
1100,18.359901718643727,14.798077996683428
1101,18.51229157758717,14.588857141923173
1102,18.292563542415973,14.933098453233553
1103,18.118556592004083,17.012134936588357
1104,18.31713282818395,16.931055440502615
1105,18.603139353612896,18.73953979108997
1106,18.535173769617874,15.14470518588942
1107,18.37643896831758,19.162704368238543
1108,18.34579484750177,14.45699090788412
