minutes,image_processing-0-0.0.1,model_training-0-0.0.1,dd-0-0.0.1
1090,3.6228786766827987,4.956266278897149,0.3175478379629287
1091,3.4016894135928855,4.891900460755838,0.26203571567511164
1092,3.116983718469676,5.000713137584123,0.2659578451962983
1093,4.045129552733186,4.731198691968456,0.2955889062767424
1094,5.7662095201132635,4.16754702014518,0.3944880123617543
1095,4.790176429093404,4.397840711307872,0.26215210214014867
1096,3.773701980200283,4.948913290696902,0.31464913509692555
1097,3.471989324154591,4.951569941451471,0.29320734043953905
1098,3.7926086534371297,4.59556244028819,0.3322891280330012
1099,3.9682325803590133,4.7661544022851,0.3129905403866253
1100,4.992188926106993,4.5325005133014455,0.30353718938925195
1101,2.857069064199288,4.99682140461403,0.2182035645275145
1102,2.7813374082855167,5.3635546955241304,0.17657458573043602
1103,2.6634599585753556,5.3437827938814815,0.15553873417054342
1104,5.67228850339286,4.658360820184002,0.18602817084067969
1105,5.035434566852595,4.622880792908684,0.1598488500844462
1106,3.497682635022422,4.978398888808353,0.13788166644348535
1107,3.5489981356406406,6.279707351277811,0.3885294362046184
