minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1095,23.543046039405446,18.508389196063955,10.426938118440393,0.0
1097,26.545387652758933,20.16932021024902,11.586399963190583,0.0
1098,27.70405461932603,21.421176650342552,12.672529383307724,0.0
1099,27.43949127549633,22.006463105055474,12.452643140717367,0.0
1100,30.23419777986063,22.870465030984263,13.970195160203087,0.0
1101,26.82681387061811,20.96416318873222,11.832716268465557,0.0
1102,27.63513308249454,20.374767833555413,12.175971292258287,0.0
1103,28.274849961172706,21.133502654991947,12.49978480760958,0.0
1104,25.335060084196105,20.480767114379773,11.766779955767626,0.0
1105,26.699641763926035,21.774658422285647,12.27014399631353,0.0
1106,23.327112442433194,18.888146970945353,10.918662029961304,0.0
1107,,,,
