minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1193,13.019521839021202,6.027851879997416,14.518035860248213,15.596558458911591
1194,15.820497163640894,8.188893062556607,19.976342200321977,19.57615099032891
1195,12.961815028201567,6.557483974266504,17.45252246252335,20.13417908355016
1196,11.822028046644853,6.4419617304933405,16.431812563193553,17.65892934634142
1197,12.74855214946692,9.585335859512202,23.21958282784406,20.68363437940052
1198,10.407221205151107,6.289576716968226,18.339079817400247,18.203723064768464
1199,11.232053032187748,7.634839055933145,22.069974315033807,18.586776175532485
1200,12.896902424061805,9.063402854371397,21.759868363784403,15.39717528413397
1201,12.663946353956533,7.94138846334778,24.118810252767855,15.322997354616362
1202,14.696047744375623,9.168817228596929,29.271585290302475,18.51802657815097
1203,14.808521746377929,8.84551593846886,35.70905005743617,19.278849443856
1204,11.396989355977476,5.002591668747233,26.03995851085507,14.050219452219757
