,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
0,138.0,114.0,116.0,110.0
1,190.0,165.0,185.0,114.0
2,140.0,120.0,194.0,158.0
3,117.0,113.0,155.0,95.0
4,161.0,148.0,231.0,126.0
5,143.0,118.0,132.0,169.0
6,132.0,94.0,208.0,144.0
7,160.0,79.0,199.0,156.0
8,111.0,108.0,154.0,132.0
9,135.0,111.0,226.0,125.0
10,137.0,136.0,245.0,125.0
11,38.0,27.0,23.0,26.0
