minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1193,4.260253603870089,1.4105309751745385,7.485284700565921,3.6583453523462284
1194,5.298092518336408,2.265799789035659,9.697254767688394,3.7056090432473963
1195,4.543679104811442,2.5495615840535795,8.429341590130875,3.212550761302511
1196,3.9164408943332423,2.585627381922968,6.804109275452249,2.678186508959423
1197,4.518962416218063,4.427562952589068,9.372919725949878,2.7466128785766424
1198,3.8563542937823985,2.519284398000161,6.524050280737751,2.4367060963052656
1199,4.5289503906456385,3.3776814270367344,8.214423827959044,2.494691449100017
1200,4.7458822755825345,3.2635827388146104,7.367281894350152,2.34870945299755
1201,4.322698516026629,3.1082662204594023,7.145330351511136,2.6862877362705597
1202,4.991007729392749,3.5503826461754806,8.843977269817964,3.3982181252792607
1203,4.751733641472935,3.4369366267521997,10.65333128035094,3.2342315767623435
1204,3.306499892166134,3.8477710016448663,7.540069408796248,2.0815906376143403
