minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1123,16.897193358158066,6.916308696443766,19.797495220268665
1124,17.16329969863054,6.902761971697759,20.61878777911555
1125,16.619244067336776,7.529441891944212,19.63413971960039
1126,15.117596364397196,7.740421093169058,20.34762975137277
1127,15.945672731405168,8.637343486849087,19.814612233344743
1128,15.477438031057805,9.536113920753902,19.793034290208002
1129,15.949472200948284,9.774145214354382,20.347116864448704
1130,16.06689431480662,10.581217697041302,18.279275966951488
1131,16.451984145437994,10.457353299957987,19.772884585464812
1132,17.021801024050472,9.888626758425241,19.253084058117164
1133,17.00663639643987,10.5184544434541,20.496371533059904
