minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1123,2.066666666666667,1.7,1.8
1124,2.466666666666667,2.1166666666666667,1.6333333333333333
1125,1.8833333333333333,1.75,2.283333333333333
1126,1.7666666666666666,1.6333333333333333,1.45
1127,2.0833333333333335,1.75,1.8166666666666667
1128,2.0833333333333335,1.6333333333333333,2.466666666666667
1129,1.95,1.4,2.066666666666667
1130,2.2333333333333334,1.05,2.1666666666666665
1131,1.6166666666666667,1.5666666666666667,2.0166666666666666
1132,1.8166666666666667,1.4166666666666667,1.7166666666666666
1133,1.65,1.6333333333333333,1.5333333333333334
