minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1123,9.455594312209909,3.1475309734557295,5.333350721088217
1124,9.37026220477793,3.088217759964124,6.172844257152793
1125,8.249547995913165,4.035235830004926,5.873980712676575
1126,7.36868440932758,4.486505753373855,6.241603833932202
1127,7.603816328835443,5.274528973044112,6.347968647647978
1128,7.372884731162701,6.066002482794095,5.800916686168563
1129,8.240025838123264,5.875282657958744,6.045262979831102
1130,8.229017617224574,6.782843445964201,4.923831283610713
1131,8.083495408788787,6.778369951119591,6.249942290960291
1132,8.337119014815395,6.299584301917501,6.165412412424839
1133,7.964863614261839,6.848975437336131,6.956744459737592
