,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,69.527269,38.841663000000004,63.06070800000001
1,90.621495,52.151304999999994,55.764802999999986
2,70.16718200000001,42.23404099999999,78.918015
3,61.926715000000016,36.604046,48.52863100000001
4,71.425867,40.338556999999994,60.715342
5,75.434637,38.06152700000001,87.54472700000002
6,69.16241099999999,32.494296000000006,71.370785
7,77.233132,24.425303,74.93340200000002
8,56.811420000000005,35.67387,71.99915100000004
9,64.499728,31.624489999999994,59.47396
10,57.343841000000005,37.995661000000005,51.44473000000001
