,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,124.0,102.0,108.0
1,148.0,127.0,98.0
2,113.0,105.0,137.0
3,106.0,98.0,87.0
4,125.0,105.0,109.0
5,125.0,98.0,148.0
6,117.0,84.0,124.0
7,134.0,63.0,130.0
8,97.0,94.0,121.0
9,109.0,85.0,103.0
10,99.0,98.0,92.0
