minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1097,62.236654435018785,50.65253069261276,6.618941142742155,0.0
1099,59.99944204941207,50.09403637499474,7.089669643237187,0.0
1100,60.2309325413239,52.35419597401792,7.117067445965259,0.0
1101,59.68472364766715,47.63994436322563,6.765364961896549,0.0
1102,57.074014008034986,47.06586151314002,6.5236849150198335,0.0
1103,52.16915053910826,45.8184764738401,6.477165003744026,0.0
1104,63.83474647981965,53.99129873745588,7.352709569143138,0.0
1105,59.472513029778206,49.222869640161456,6.497609869751377,0.0
1106,57.99735366554339,48.443749420528746,6.77890801857148,0.0
1107,57.80368998642091,49.84008537128505,6.8595699234548615,0.0
1108,63.35391674781353,51.34332407513739,7.086902632365803,0.0
1109,61.884252023861904,49.52911459984372,6.3132444401175825,0.0
1110,,,,
