minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1097,15.743541349999994,5.244883533333333,2.1587588500000003,0.0
1099,7.854217233333333,2.4561538500000006,1.21123705,0.0
1100,7.16590835,2.84007245,1.224161533333333,0.0
1101,8.229207899999999,2.7466058166666674,1.4282901166666668,0.0
1102,9.101878216666668,2.8565815666666667,1.1094944833333333,0.0
1103,9.565512033333334,3.093045933333331,1.2946982000000005,0.0
1104,6.4906513166666695,2.446865683333333,1.1594999166666669,0.0
1105,10.249556016666668,2.201415833333334,1.0429953833333332,0.0
1106,8.244106633333336,3.266673583333333,1.1182244666666665,0.0
1107,8.046430350000003,3.017027166666666,1.2409791333333333,0.0
1108,8.143233766666667,2.6175780666666664,1.260523033333333,0.0
1109,9.266291750000002,2.556159666666667,1.0633523666666669,0.0
1110,6.8653329,2.255414266666667,0.8675743500000002,0.0
