,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,944.6124809999997,314.69301199999995,129.52553100000003,0.0
1,471.253034,147.36923100000004,72.674223,0.0
2,429.954501,170.404347,73.44969199999998,0.0
3,493.75247399999995,164.79634900000005,85.69740700000001,0.0
4,546.112693,171.394894,66.569669,0.0
5,573.9307220000001,185.58275599999988,77.68189200000003,0.0
6,389.43907900000016,146.81194099999996,69.569995,0.0
7,614.9733610000001,132.08495000000002,62.579722999999994,0.0
8,494.6463980000002,196.00041499999998,67.09346799999999,0.0
9,482.78582100000017,181.02162999999996,74.458748,0.0
10,488.594026,157.05468399999998,75.63138199999999,0.0
11,555.9775050000002,153.36958,63.80114200000001,0.0
12,411.919974,135.324856,52.05446100000001,0.0
