minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1097,15.743541349999994,5.244883533333333,2.1587588500000003,0.0
1099,8.816666666666666,3.45,2.2333333333333334,0.0
1100,8.2,3.933333333333333,2.2666666666666666,0.0
1101,9.166666666666666,3.5833333333333335,2.6,0.0
1102,10.166666666666666,3.933333333333333,1.9166666666666667,0.0
1103,10.7,4.2,2.283333333333333,0.0
1104,7.333333333333333,3.5,2.1333333333333333,0.0
1105,11.483333333333333,2.9833333333333334,1.9,0.0
1106,9.25,4.483333333333333,2.0833333333333335,0.0
1107,9.1,4.1,2.1666666666666665,0.0
1108,9.083333333333334,3.5166666666666666,2.3,0.0
1109,10.45,3.5,2.033333333333333,0.0
1110,7.75,3.033333333333333,1.5833333333333333,0.0
